id;name;year_from;year_to
1046;Regency;1951;1958
1047;Sovereign (XJ6);1969;1993
1048;SP250;1959;1964
1049;XJ40;1986;1994
1050;XJS;1973;1977
1051;X300;1993;1997
1052;X308;1997;2003
1053;X350;2005;2009
1054;Stradale;2017;2025
1055;200/220/260/280C;1975;1979
1056;240Z;1970;1973
1057;280Z;1975;1979
1058;280ZX;1978;1983
1059;620;1972;1979
1060;720;1980;1986
1061;Bluebird;1976;1981
1062;Cherry;1970;1982
1063;GO;2014;2020
1064;GO+;2014;2022
1065;Laurel;1977;1984
1066;mi-DO;2015;2020
1067;on-DO;2014;2020
1068;Stanza;1977;1986
1069;Sunny;1973;1983
1070;Urvan;1982;1988
1071;Violet;1973;1979
1072;Pickup;2018;2025
1073;Yuanzhi M1;2020;2025
1074;Yuehu;2020;2025
1075;Zephyr;1999;2025
1076;D12;2020;2025
1077;D6;1930;1940
1078;DI;1923;1927
1079;DMC-12;1981;1982
1080;500;2014;2019
1081;D9;2022;2025
1082;N7;2023;2025
1083;N8;2023;2025
1084;N8L;2025;2025
1085;N9;2024;2025
1086;X;2019;2022
1087;Z9;2024;2025
1088;Antelope;2007;2007
1089;Aurora;2006;2008
1090;Cowboy;2004;2006
1091;Land Crown;2006;2007
1092;Plutus;2007;2008
1093;Saladin;2006;2008
1094;Shuttle;2005;2008
1095;Custom;1949;1952
1096;Deluxe;1946;1952
1097;Firedome;1952;1959
1098;Fireflite;1955;1960
1099;Bigua;2000;2002
1100;Guara;1993;2001
1101;Longchamp;1972;1989
1102;Mangusta;1967;2001
1103;Pantera;1970;1991
1104;Vallelunga;1964;1968
1105;3=6;1953;1955
1106;600;1983;1988
1107;Aries;1981;1989
1108;Avenger;1994;2014
1109;Caliber;2006;2013
1110;Caravan;1984;2020
1111;Challenger;1969;2023
1112;Charger;1966;2025
1113;Charger Daytona;1969;1970
1114;Colt;1992;1994
1115;Coronet;1970;1976
1116;Custom Royal;1955;1959
1117;D8;1937;1938
1118;Dakota;1987;2011
1119;Dart;1967;2016
1120;Daytona;1984;1993
1121;Diplomat;1977;1989
1122;Durango;1998;2025
1123;D/W Series;1972;1980
1124;Dynasty;1987;1993
1125;Hornet;2022;2025
1126;Intrepid;1992;2004
1127;Journey;2007;2020
1128;Lancer;1985;1989
1129;Magnum;1977;2008
1130;Mayfair;1953;1959
1131;Monaco;1990;1993
1132;Neon;1994;2021
1133;Nitro;2006;2011
1134;Omni;1978;1990
1135;Polara;1965;1973
1136;Raider;1987;1989
1137;RAM;1980;2019
1138;Ramcharger;1974;2001
1139;RAM Van;1979;2003
1140;Shadow;1986;1994
1141;Spirit;1988;1995
1142;Stealth;1990;1996
1143;Stratus;1995;2006
1144;Super Bee;1968;1970
1145;Viper;1992;2017
1146;WC series;1941;1945
1147;370;2016;2020
1148;580;2016;2025
1149;A30;2014;2019
1150;A9;2016;2019
1151;Aeolus E70;2017;2025
1152;Aeolus Haohan;2023;2025
1153;Aeolus Haoji;2022;2025
1154;Aeolus L7;2024;2025
1155;Aeolus Yixuan;2019;2025
1156;Aeolus Yixuan Max;2021;2025
1157;AX4;2017;2021
1158;AX7;2015;2019
1159;Box;2024;2025
1160;C36;2012;2025
1161;DF6;2022;2025
1162;DFSK 500;2024;2025
1163;DFSK ix5;2023;2025
1164;DFSK ix7;2023;2025
1165;E11K;2018;2021
1166;EC36;2017;2025
1167;Fengon 500;2020;2025
1168;Fengon 560;2017;2025
1169;Fengon E5;2023;2025
1170;Fengon ix5;2018;2025
1171;Fengon ix7;2019;2023
1172;Fukang ES600;2022;2025
1173;H30 Cross;2011;2018
1174;Huge;2022;2025
1175;Mage;2024;2025
1176;Mengshi M-Hero 800;2024;2025
1177;Mengshi M-Hero 817;2025;2025
1178;Mengshi M-Hero 917;2023;2025
1179;MPV;2007;2009
1180;Nammi 01;2024;2025
1181;Nammi 06;2025;2025
1182;Nano EX1;2020;2025
1183;Oting;2007;2013
1184;Paladin;2023;2025
1185;Rich;2007;2025
1186;Rich 7;2022;2025
1187;S30;2013;2017
1188;Shine;2019;2025
1189;Shine GS;2024;2025
1190;Shine Max;2023;2025
1191;Sky EV01;2023;2025
1192;Aeolus Yixuan GS;2020;2025
1193;Z9;2025;2025
1194;Assol;1998;2002
1195;Kondor;1998;2002
1196;Orion;1998;2002
1197;Orion M;1999;2002
1198;D8;2001;2007
1199;D8 Cosworth;1994;1998
1200;D8 GT;2007;2012
1201;D8 GTO;2013;2025
1202;D8 Zetec;1993;1998
1203;F22;2022;2025
1204;1.0;2023;2025
1205;3.0;2022;2025
1206;5.0;2022;2025
1207;6.0;2022;2025
1208;7.0;2023;2025
1209;PK8;2023;2025
1210;3;2015;2019
1211;3 Crossback;2018;2022
1212;4;2015;2025
1213;5;2015;2018
1214;7 Crossback;2017;2025
1215;9;2020;2025
1216;No4;2025;2025
1217;No8;2025;2025
1218;H3;2017;2019
1219;H5;2017;2019
1220;Premier;1987;1992
1221;Summit;1989;1996
1222;Talon;1989;1999
1223;Vision;1992;1997
1224;Vista;1988;1992
1225;SS;1982;1998
1226;ME5;2021;2023
1227;ME7;2020;2023
1228;M2;2025;2025
1229;VE-1;2018;2025
1230;i-JET;2022;2025
1231;i-JOY;2022;2025
1232;i-PRO;2022;2025
1233;i-SKY;2023;2025
1234;i-SPACE;2023;2025
1235;i-VAN;2022;2025
1236;Series IV;1980;1985
1237;Series V;1985;1997
1238;GD04B;2012;2014
1239;Ё-Кроссовер;2013;2013
1240;FV;1954;1958
1241;Bestune B70;2020;2025
1242;Bestune B70S;2022;2025
1243;Bestune M9;2023;2025
1244;Bestune NAT;2021;2025
1245;Bestune Pony;2024;2025
1246;Bestune T33;2019;2021
1247;Bestune T55;2021;2025
1248;Bestune T77;2018;2025
1249;Bestune T90;2023;2025
1250;Bestune T99;2019;2025
1251;Bestune Yueyi 03;2025;2025
1252;Bestune Yueyi 07;2025;2025
1253;Besturn B30;2015;2020
1254;Besturn B50;2009;2016
1255;Besturn B70;2006;2018
1256;Besturn X40;2016;2023
1257;CA6420;2013;2025
1258;D60;2014;2017
1259;Jinn;2005;2009
1260;Oley;2012;2015
1261;V2;2010;2015
1262;V5;2012;2017
1263;Vita;2007;2010
1264;Besturn X80;2013;2022
1265;12Cilindri;2024;2025
1266;208/308;1974;1989
1267;250 GTO;1962;1964
1268;250 GT Berlinetta;1955;1959
1269;288 GTO;1984;1987
1270;296;2021;2025
1271;328;1985;1989
1272;348;1989;1995
1273;360;1999;2005
1274;365 GTC;1968;1970
1275;400;1976;1985
1276;412;1985;1988
1277;456;1992;2003
1278;458;2009;2015
1279;488;2015;2019
1280;512 M;1994;1996
1281;512 BB;1976;1984
1282;512 TR;1991;1994
1283;550;1996;2001
1284;575M;2002;2006
1285;599;2006;2012
1286;612;2004;2011
1287;812;2017;2024
1288;849 Testarossa;2025;2025
1289;Amalfi;2025;2025
1290;California;2008;2017
1291;Daytona SP3;2022;2025
1292;Dino 206 GT;1967;1969
1293;Dino 208/308 GT4;1973;1978
1294;Dino 246 GT;1969;1974
1295;Enzo;2002;2004
1296;F12;2012;2017
1297;F355;1994;1999
1298;F40;1987;1992
1299;F430;2004;2009
1300;F50;1995;1997
1301;F80;2024;2025
1302;F8;2019;2023
1303;FF;2011;2016
1304;FXX K;2015;2017
1305;GTC4Lusso;2016;2020
1306;LaFerrari;2013;2017
1307;Mondial;1980;1993
1308;Monza SP;2019;2022
1309;Portofino;2017;2023
1310;Purosangue;2022;2025
1311;Roma;2020;2025
1312;SC40;2025;2025
1313;SF90;2019;2025
1314;Testarossa;1984;1991
1315;1100;1939;1948
1316;124;1966;1976
1317;124 Spider;2016;2020
1318;124 Sport Spider;1966;1985
1319;125;1967;1982
1320;126;1972;1996
1321;127;1971;1987
1322;128;1969;1985
1323;130;1969;1978
1324;131;1974;1985
1325;132;1972;1982
1326;1500;1935;1950
1327;2300;1961;1969
1328;238;1966;1982
1329;500;1936;2025
1330;500L;2012;2022
1331;500X;2014;2025
1332;508;1932;1939
1333;600;2005;2010
1334;600e;2023;2025
1335;850;1964;1971
1336;900T;1976;1985
1337;Albea;2002;2012
1338;Argenta;1981;1986
1339;Barchetta;1995;2005
1340;Brava;1995;2001
1341;Bravo;1995;2014
1342;Cinquecento;1991;1998
1343;Coupe;1993;2001
1344;Croma;1985;2011
1345;Doblo;2000;2025
1346;Duna;1987;1991
1347;Egea;2015;2025
1348;Fiorino;1977;2025
1349;Freemont;2011;2016
1350;Fullback;2016;2020
1351;Grande Panda;2024;2025
1352;Idea;2003;2016
1353;Linea;2007;2018
1354;Marea;1996;2002
1355;Multipla;1998;2010
1356;Palio;1996;2017
1357;Panda;1981;2025
1358;Punto;1993;2018
1359;Qubo;2007;2019
1360;Regata;1983;1990
1361;Ritmo;1978;1989
1362;Scudo;1995;2025
1363;Sedici;2005;2014
1364;Seicento;1998;2010
1365;Siena;1996;2017
1366;Stilo;2001;2007
1367;Strada;1998;2025
1368;Tempra;1990;1999
1369;Tipo;1988;2025
1370;Topolino;2023;2025
1371;Ulysse;1994;2025
1372;Uno;1983;2002
1373;X 1/9;1972;1989
1374;Karma;2009;2012
1375;Ocean;2023;2025
1376;F;2018;2018
1377;300;1963;1963
1378;Aerostar;1986;1997
1379;Anglia;1948;1968
1380;Aspire;1993;1997
1381;Bronco;1966;2025
1382;Bronco-II;1984;1990
1383;Bronco Sport;2020;2025
1384;B-MAX;2012;2018
1385;Capri;1969;2025
1386;Consul;1972;1976
1387;Contour;1994;2000
1388;Cortina;1970;1976
1389;Cougar;1998;2002
1390;Country Squire;1950;1968
1391;Crestline;1952;1955
1392;Crown Victoria;1992;2011
1393;Custom;1949;1955
1394;C-MAX;2003;2019
1395;Econoline;1968;2013
1396;Econovan;1979;1996
1397;EcoSport;2003;2023
1398;Edge;2006;2025
1399;Equator;2021;2025
1400;Equator Sport;2021;2025
1401;Escape;2000;2025
1402;Escort;1968;2023
1403;Escort (North America);1990;2003
1404;Everest;2003;2025
1405;Evos;2021;2024
1406;Excursion;1999;2005
1407;Expedition;1996;2025
1408;Explorer;1990;2025
1409;Explorer EV;2024;2025
1410;Explorer Sport Trac;2000;2010
1411;Fairlane;1957;1981
1412;Fairmont;1978;1983
1413;Falcon;1960;1979
1414;Festiva;1986;2003
1415;Fiesta;1976;2023
1416;Fiesta ST;2004;2023
1417;Figo;2010;2021
1418;Five Hundred;2004;2007
1419;Flex;2008;2019
1420;Focus;1998;2025
1421;Focus RS;2002;2018
1422;Focus ST;2001;2025
1423;Freda;1995;1999
1424;Freestar;2003;2007
1425;Freestyle;2004;2009
1426;Fusion;2002;2012
1427;Fusion (North America);2005;2020
1428;F-100;1952;1956
1429;F-150;1979;2025
1430;F-2;1948;1952
1431;Galaxie;1960;1974
1432;Galaxy;1995;2023
1433;GPA;1942;1943
1434;Granada;1972;1985
1435;Granada (North America);1975;1982
1436;GT;2005;2022
1437;GT40;1964;1969
1438;Ikon;1999;2015
1439;Ixion;1999;2005
1440;KA;1996;2021
1441;Kuga;2008;2025
1442;Laser;1981;2003
1443;LTD;1967;1968
1444;LTD Country Squire;1969;1991
1445;LTD Crown Victoria;1983;1991
1446;M151;1959;1982
1447;Mainline;1952;1956
1448;Maverick;1969;2025
1449;Model A;1927;1931
1450;Model T;1908;1927
1451;Mondeo;1993;2025
1452;Mondeo ST;1999;2007
1453;Mustang;1964;2025
1454;Mustang Mach-E;2020;2025
1455;Orion;1983;1993
1456;Probe;1988;1997
1457;Puma;1997;2025
1458;Puma ST;2020;2025
1459;Ranchero;1957;1976
1460;Ranger;1998;2025
1461;Ranger (North America);1983;2012
1462;Scorpio;1985;1998
1463;Sierra;1982;1993
1464;Spectron;1983;1995
1465;S-MAX;2006;2023
1466;Taunus;1964;1982
1467;Taurus;1985;2019
1468;Taurus X;2007;2009
1469;Telstar;1987;1999
1470;Tempo;1983;1994
1471;Territory;2004;2025
1472;Thunderbird;1955;2005
1473;Torino;1968;1976
1474;Tourneo Connect;2002;2025
1475;Tourneo Courier;2014;2025
1476;Tourneo Custom;2012;2025
1477;Transit;1978;1985
1478;Transit Connect;2002;2024
1479;Transit Custom;2012;2025
1480;V8;1932;1939
1481;Windstar;1994;2003
1482;Zephyr;1951;1962
1483;CM7;2013;2020
1484;Friday;2023;2025
1485;Lingzhi M5;2020;2025
1486;Lingzhi Plus;2023;2025
1487;M7;2020;2025
1488;T5;2018;2025
1489;T5L;2019;2022
1490;T5 EVO;2020;2025
1491;Thunder;2023;2025
1492;U-Tour M4;2024;2025
1493;V9;2024;2025
1494;Xinghai S7;2024;2025
1495;Yacht;2022;2025
1496;Mars 7;2023;2025
1497;Mars 9;2023;2025
1498;Midi;2007;2014
1499;Sauvana;2015;2020
1500;Tunland;2011;2018
1501;Tunland G7;2019;2025
1502;Tunland G9;2021;2025
1503;Tunland V7;2024;2025
1504;Tunland V9;2024;2025
1505;Series 15;1930;1934
1506;125p;1967;1992
1507;126p;1973;1991
1508;127p;1971;1976
1509;132p;1974;1978
1510;Lanos;2004;2008
1511;Polonez;1977;2002
1512;Warszawa;1964;1973
1513;Tarpan;1973;1995
1514;6500 (Land King);2005;2005
1515;Empow;2024;2025
1516;GN8;2019;2023
1517;GS3;2024;2025
1518;GS4;2024;2025
1519;GS5;2020;2024
1520;GS8;2016;2025
1521;iA5;2019;2022
1522;M8;2023;2025
1523;12 ЗИМ;1948;1960
1524;13 «Чайка»;1959;1981
1525;14 «Чайка»;1977;1989
1526;18;1955;1958
1527;21 «Волга»;1956;1970
1528;22 «Волга»;1962;1970
1529;2308 «Атаман»;1999;2000
1530;2330 «Тигр»;2003;2025
1531;24 «Волга»;1968;1992
1532;25;1939;1939
1533;3102 «Волга»;1982;2009
1534;31022 «Волга»;1992;1998
1535;310221 «Волга»;1997;2008
1536;31029 «Волга»;1992;1998
1537;3103 «Волга»;1997;1997
1538;3105 «Волга»;1992;1996
1539;3110 «Волга»;1997;2008
1540;31105 «Волга»;2003;2009
1541;3111 «Волга»;2000;2004
1542;46;1953;1958
1543;61;1941;1948
1544;64;1941;1943
1545;ГАЗ 67;1943;1953
1546;69;1953;1972
1547;А;1932;1936
1548;М1;1934;1948
1549;М-20 «Победа»;1946;1958
1550;М-72;1955;1958
1551;Volga Siber;2008;2010
1552;Atlas;2016;2025
1553;Atlas Pro;2021;2025
1554;Azkarra;2019;2023
1555;Beauty Leopard;2005;2006
1556;Binrui;2018;2022
1557;Binrui Cool;2022;2025
1558;Binyue;2018;2025
1559;Binyue Cool;2022;2025
1560;Binyue L;2024;2025
1561;Boyue;2016;2025
1562;Boyue Cool;2023;2025
1563;Boyue Pro;2019;2023
1564;Cityray;2024;2025
1565;CK (Otaka);2005;2016
1566;Coolray;2019;2025
1567;Cowboy;2024;2025
1568;Emgrand;2018;2025
1569;Emgrand 7;2016;2020
1570;Emgrand EC8;2012;2015
1571;Emgrand EC7;2009;2016
1572;Emgrand GL;2016;2021
1573;Emgrand GT;2015;2020
1574;Emgrand L;2021;2025
1575;Emgrand S;2022;2025
1576;Emgrand X7;2011;2021
1577;EX2;2025;2025
1578;EX5;2024;2025
1579;EX5 EM-i;2025;2025
1580;Galaxy A7;2025;2025
1581;Galaxy E5;2024;2025
1582;Galaxy E8;2023;2025
1583;Galaxy L6;2023;2025
1584;Galaxy L7;2023;2025
1585;Galaxy LEVC L380;2024;2025
1586;Galaxy M9;2025;2025
1587;Galaxy Starshine 6;2025;2025
1588;Galaxy Starshine 8;2025;2025
1589;Galaxy Starship 7;2024;2025
1590;GC5;2011;2015
1591;GC6;2014;2016
1592;GC7;2010;2013
1593;GC9;2015;2024
1594;Geometry A;2019;2025
1595;Geometry C;2020;2025
1596;Geometry E;2022;2025
1597;Geometry G6;2022;2025
1598;Geometry M6;2022;2025
1599;Geome Xingyuan;2024;2025
1600;GS;2016;2021
1601;GX3 Pro;2021;2025
1602;Haoqing;1998;2006
1603;Haoyue;2020;2022
1604;Haoyue L;2022;2025
1605;Haoyue Pro;2024;2025
1606;Icon;2019;2025
1607;Jiaji;2019;2025
1608;Kandi EX3;2018;2018
1609;LC (Panda);2008;2016
1610;LC (Panda) Cross;2008;2016
1611;MK;2006;2015
1612;MK Cross;2010;2016
1613;Monjaro;2021;2025
1614;MR;2003;2009
1615;Okavango;2020;2025
1616;Panda;2022;2025
1617;Preface;2020;2025
1618;Radar King Kong;2024;2025
1619;SC7;2011;2015
1620;Tugella;2019;2024
1621;TX4;2008;2017
1622;FC (Vision);2006;2011
1623;Vision X3;2017;2021
1624;Vision X3 Pro;2021;2025
1625;Vision X6;2016;2021
1626;Vision X6 Pro;2021;2025
1627;Xingyue;2019;2025
1628;Xingyue L;2021;2025
1629;Yuancheng (Farizon) FX;2020;2023
1630;G70;2017;2025
1631;G80;2016;2025
1632;G90;2016;2025
1633;GV60;2021;2025
1634;GV70;2020;2025
1635;GV80;2020;2025
1636;GV80 Coupe;2023;2025
1637;Metro;1989;1997
1638;Prizm;1992;2002
1639;Spectrum;1988;1993
1640;Storm;1990;1993
1641;Tracker;1989;1998
1642;T.33;2022;2025
1643;T.50;2022;2025
1644;100;1957;1957
1645;Acadia;2006;2025
1646;Canyon;2004;2025
1647;C/K;1973;1987
1648;Envoy;1997;2009
1649;Hummer EV;2021;2025
1650;Jimmy;1982;2005
1651;Safari;1985;2005
1652;Savana;1996;2025
1653;Sierra;1998;2025
1654;Sonoma;1991;2004
1655;Suburban;1992;1999
1656;Syclone;1991;1991
1657;Terrain;2009;2025
1658;Typhoon;1991;1993
1659;Vandura;1970;1996
1660;Yukon;1991;2025
1661;T;1955;1969
1662;TS;1957;1969
1663;Aoosed G5;2010;2012
1664;GX6;2014;2016
1665;Troy;2008;2012
1666;Roadster;1997;2025
1667;Madison;1980;1999
1668;Coolbear;2009;2013
1669;Cowry (V80);2007;2014
1670;Deer;1996;2013
1671;Florid;2008;2013
1672;Hover H3;2010;2016
1673;Hover H5;2010;2017
1674;Hover H6;2011;2017
1675;Hover;2005;2010
1676;Hover M1 (Peri 4x4);2008;2010
1677;Hover M2;2010;2014
1678;Hover M4;2012;2017
1679;Hover Pi;2006;2010
1680;Pegasus;2006;2008
1681;Peri;2008;2010
1682;Poer;2019;2025
1683;Poer King Kong;2022;2025
1684;Safe;2001;2010
1685;Sailor;2003;2010
1686;Shanhai Poer;2022;2025
1687;Sing RUV;2005;2010
1688;Socool;2005;2008
1689;Voleex C10 (Phenom);2010;2013
1690;Voleex C30;2010;2014
1691;Voleex C50;2011;2016
1692;Wingle 7;2018;2023
1693;Wingle;2006;2015
1694;Brio;2002;2010
1695;Minyi;2003;2018
1696;Princip;2004;2010
1697;Saibao;2004;2008
1698;Sigma;2005;2008
1699;Simbo;2006;2008
1700;2;2009;2015
1701;3;2010;2013
1702;6P;2021;2022
1703;7;2013;2016
1704;7X;2020;2025
1705;8S;2019;2025
1706;Aishang EV;2017;2022
1707;E3;2016;2019
1708;Family;2003;2012
1709;Family F7;2016;2018
1710;Freema;2006;2017
1711;M3;2014;2017
1712;S5;2014;2019
1713;S5 Young;2017;2018
1714;Rekord;1934;1940
1715;Typ 13;1939;1941
1716;X7;2016;2021
1717;Chitu;2021;2025
1718;DaGou (Big Dog);2020;2025
1719;Dargo;2022;2025
1720;F5;2018;2020
1721;F7;2018;2025
1722;F7x;2019;2025
1723;F8;2024;2025
1724;H1;2014;2018
1725;H2;2014;2021
1726;H2s;2016;2020
1727;H3;2024;2025
1728;H4;2018;2020
1729;H5;2020;2025
1730;H6;2014;2025
1731;H6L;2025;2025
1732;H6S;2021;2025
1733;H6 Coupe;2015;2021
1734;H7;2016;2025
1735;H8;2014;2017
1736;H9;2014;2025
1737;Jolion;2021;2025
1738;KuGou;2022;2025
1739;M6;2017;2025
1740;Menglong (Raptor);2023;2025
1741;Shenshou;2021;2025
1742;Xiaolong;2023;2025
1743;Xiaolong Max;2023;2025
1744;Boliger;2011;2020
1745;B21;2013;2017
1746;Laville;2016;2020
1747;06;2025;2025
1748;Typ 154;1956;1958
1749;Venom F5;2021;2025
1750;Venom GT;2011;2017
1751;Ambassador;1979;2014
1752;Contessa;1984;2002
1753;X;2020;2024
1754;Y;2023;2024
1755;Z;2022;2024
1756;K6;1934;1937
1757;Apollo;1991;1996
1758;Astra;1999;2004
1759;Barina;1997;2005
1760;Calais;1988;2006
1761;Caprice;1990;2006
1762;Commodore;1990;2002
1763;Cruze;2002;2006
1764;Frontera;1998;2003
1765;Jackaroo;1998;2003
1766;Monaro;2001;2005
1767;Rodeo;1998;2003
1768;Statesman;1990;2006
1769;UTE;2000;2013
1770;Vectra;1998;2001
1771;Zafira;2001;2005
1772;145;1972;1974
1773;Accord;1976;2025
1774;Acty;1977;2018
1775;Airwave;2005;2010
1776;Ascot;1989;1997
1777;Ascot Innova;1992;1996
1778;Avancier;1999;2025
1779;Ballade;1980;1987
1780;Beat;1991;1996
1781;Breeze;2019;2025
1782;Brio;2011;2018
1783;Capa;1998;2002
1784;City;1981;2025
1785;Civic;1972;2025
1786;Civic Ferio;1991;2006
1787;Civic Type R;1997;2025
1788;Concerto;1988;1994
1789;Crider;2013;2025
1790;Crossroad;2007;2010
1791;Crosstour;2009;2015
1792;CR-V;1995;2025
1793;CR-X;1983;1998
1794;CR-Z;2010;2017
1795;Domani;1992;2000
1796;e;2019;2024
1797;Edix;2004;2009
1798;Element;2002;2011
1799;Elevate;2023;2025
1800;Elysion;2004;2025
1801;Envix;2019;2025
1802;e:NP1;2022;2025
1803;e:NP2;2024;2025
1804;e:NS1;2022;2025
1805;e:NS2;2024;2025
1806;e:Ny1;2023;2025
1807;Clarity;2008;2021
1808;Fit;2001;2025
1809;Fit Aria;2002;2009
1810;Fit Shuttle;2011;2015
1811;Freed;2008;2025
1812;FR-V;2004;2009
1813;Grace;2014;2020
1814;Horizon;1994;1999
1815;HR-V;1998;2025
1816;Insight;1999;2022
1817;Inspire;1989;2025
1818;Integra;1985;2025
1819;Integra SJ;1996;2001
1820;Jade;2015;2020
1821;Jazz;1983;2025
1822;Lagreat;1998;2005
1823;Legend;1985;2021
1824;Life;1997;2025
1825;Logo;1996;2001
1826;MDX;2003;2006
1827;Mobilio;2001;2025
1828;Mobilio Spike;2002;2008
1829;N360;1969;1970
1830;NSX;1990;2022
1831;N-BOX;2011;2025
1832;N-BOX+;2012;2018
1833;N-BOX Slash;2014;2020
1834;N-One;2012;2025
1835;N-VAN;2018;2025
1836;N-WGN;2013;2022
1837;Odyssey;1994;2025
1838;Odyssey (North America);1994;2025
1839;Orthia;1996;2002
1840;Partner;1996;2010
1841;Passport;1993;2025
1842;Pilot;2002;2025
1843;Prelude;1978;2001
1844;Prologue;2024;2025
1845;Quint;1980;1989
1846;Rafaga;1993;1997
1847;Ridgeline;2005;2025
1848;S2000;1999;2009
1849;S500;1963;1964
1850;S600;1964;1966
1851;S660;2015;2022
1852;Saber;1995;2003
1853;Shuttle;1994;2022
1854;Stepwgn;1996;2025
1855;Stream;2000;2014
1856;Street;1988;1998
1857;S-MX;1996;2002
1858;That'S;2002;2007
1859;Today;1985;1998
1860;Torneo;1997;2002
1861;UR-V;2017;2025
1862;Vamos;1999;2018
1863;Vezel;2013;2025
1864;Vigor;1989;1998
1865;WR-V;2017;2025
1866;XR-V;2014;2025
1867;Ye P7;2025;2025
1868;Ye S7;2024;2025
1869;Z;1998;2002
1870;Zest;2006;2012
1871;ZR-V;2022;2025
1872;EH7;2024;2025
1873;E-HS3;2018;2023
1874;E-HS7;2024;2025
1875;E-HS9;2020;2025
1876;E-QM5;2021;2025
1877;H5;2017;2025
1878;H6;2023;2025
1879;H7;2013;2022
1880;H9;2020;2025
1881;HQ9;2022;2025
1882;HS3;2023;2025
1883;HS5;2019;2025
1884;HS7;2019;2025
1885;L1 (Guoya);2024;2025
1886;L5;2014;2025
1887;LS7;2022;2025
1888;Tiangong 05;2025;2025
1889;Tiangong 06;2025;2025
1890;Tiangong 08;2025;2025
1891;830;1933;1940
1892;853;1935;1939
1893;901;1937;1943
1894;Neta GT;2023;2025
1895;Neta L;2024;2025
1896;Neta S;2022;2025
1897;Neta U;2020;2022
1898;Neta U-II;2022;2023
1899;Neta V;2020;2025
1900;Neta X;2023;2025
1901;Maloo;2013;2017
1902;EK01;2020;2023
1903;Antelope;2006;2009
1904;Landscape;2008;2011
1905;N1;2014;2025
1906;N7;2023;2025
1907;Plutus;2007;2011
1908;Omega;2023;2025
1909;Deluxe Eight;1936;1937
1910;Super Six;1916;1928
1911;Hawk;1962;1964
1912;H1;1992;2006
1913;H2;2002;2009
1914;H3;2005;2010
1915;007;2020;2025
1916;A06;2022;2025
1917;V09;2023;2025
1918;Z03;2021;2025
1919;XP-1;2022;2024
1920;Accent;1994;2025
1921;Alcazar;2021;2025
1922;Aslan;2014;2018
1923;Atos;1997;2008
1924;Avante;1995;2025
1925;Avante N;2020;2025
1926;Azera;2005;2022
1927;Bayon;2021;2025
1928;Casper;2021;2025
1929;Celesta;2017;2023
1930;Centennial;1999;2008
1931;Click;2002;2011
1932;Coupe;1996;2009
1933;Creta;2016;2025
1934;Custin;2021;2025
1935;Custo;2021;2025
1936;Dynasty;1996;2005
1937;Elantra;1990;2025
1938;Elantra N;2021;2025
1939;Elexio;2025;2025
1940;Encino;2018;2020
1941;Entourage;2006;2009
1942;EON;2011;2019
1943;Equus;1999;2016
1944;Excel;1985;1998
1945;Exter;2023;2025
1946;Galloper;1991;2003
1947;Genesis;2008;2016
1948;Genesis Coupe;2009;2016
1949;Getz;2002;2011
1950;Grace;1986;2004
1951;Grandeur;1986;2025
1952;Grand Starex;2007;2021
1953;H200;1997;2007
1954;HB20;2012;2025
1955;H-1;1997;2021
1956;i10;2007;2025
1957;i20;2008;2025
1958;i20 N;2021;2023
1959;i30;2007;2025
1960;i30 N;2017;2025
1961;i40;2011;2019
1962;Inster;2024;2025
1963;IONIQ;2016;2022
1964;IONIQ 5;2021;2025
1965;IONIQ 5 N;2023;2025
1966;IONIQ 6;2022;2025
1967;IONIQ 9;2025;2025
1968;ix20;2010;2019
1969;ix25;2014;2021
1970;ix35;2010;2023
1971;ix55;2008;2013
1972;Kona;2017;2025
1973;Kona N;2021;2023
1974;Lafesta;2018;2024
1975;Lantra;1990;2000
1976;Lavita;2001;2007
1977;Marcia;1995;1998
1978;Matrix;2001;2010
1979;Maxcruz;2012;2020
1980;Mistra;2020;2023
1981;Mufasa;2023;2025
1982;Nexo;2018;2025
1983;Palisade;2018;2025
1984;Pony;1975;1994
1985;Santamo;1995;2002
1986;Santa Cruz;2021;2025
1987;Santa Fe;2000;2025
1988;Santro;1998;2022
1989;Scoupe;1988;1996
1990;Solaris;2010;2022
1991;Sonata;1988;2025
1992;Starex;1997;2007
1993;Stargazer;2022;2025
1994;Staria;2021;2025
1995;Stellar;1983;1993
1996;Terracan;2001;2007
1997;Tiburon;1996;2009
1998;Trajet;1999;2008
1999;Tucson;2004;2025
2000;Tuscani;2001;2009
2001;Veloster;2011;2022
2002;Venue;2019;2025
2003;Veracruz;2006;2015
2004;Verna;1999;2025
2005;XG;1998;2005
2006;03;2023;2025
2007;V23;2024;2025
2008;V27;2025;2025
2009;2125 «Комби»;1973;1997
2010;2126 «Ода»;1990;2005
2011;21261 «Фабула»;2004;2005
2012;2715;1972;2001
2013;2717;1997;2005
2014;27175;2005;2012
2015;Москвич-412;1967;1998
2016;L6;2024;2025
2017;L7;2022;2025
2018;LS6;2023;2025
2019;LS7;2023;2025
2020;LS9;2025;2025
2021;Grenadier;2022;2025
2022;EX;2007;2013
2023;FX;2002;2013
2024;G;1991;2013
2025;I;1995;2004
2026;J;1992;1997
2027;JX;2012;2014
2028;M;1989;2013
2029;Q;1989;2006
2030;Q30;2015;2019
2031;Q40;2014;2015
2032;Q50;2013;2025
